Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offense Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Agency, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agency Type,Agency Name,Population1,"Total
Offenses","Crimes
Against
Persons","Crimes
Against
Property","Crimes
Against
Society",Crimes Against Persons,,,,,,,,,,,,,,,,,,,Crimes Against Property,,,,,,,,,,,,,,,,,,,,,,,,,,,Crimes Against Society,,,,,,,,,,,,,,
,Coolidge,"18,635",971,200,460,311,184,37,109,38,3,3,0,0,0,0,0,5,8,2,0,0,3,0,3,3,0,38,3,122,0,2,38,17,12,9,0,0,0,0,215,0,0,122,0,0,7,1,85,35,2,2,0,285,116,169,0,0,0,0,0,5,0,0,0,0,21
,El Mirage,"36,002","1,691",515,721,455,467,107,273,87,3,2,1,0,5,0,5,11,29,10,4,1,12,2,0,5,0,43,10,91,1,3,104,53,14,5,0,0,32,0,370,0,0,135,10,1,74,22,128,71,11,12,0,403,209,194,0,0,0,0,0,9,0,0,0,0,43
,Eloy,"17,767",773,234,416,123,206,103,100,3,2,2,0,0,0,0,0,2,24,6,1,0,12,0,5,2,0,50,1,131,0,0,38,10,17,2,0,2,6,1,163,1,0,57,13,0,6,1,85,27,2,2,0,102,49,53,0,0,0,0,0,0,0,0,0,0,21
,Flagstaff,"75,343","5,548","1,855","3,133",560,"1,717",216,"1,228",273,3,2,1,0,0,0,0,32,103,52,4,1,37,2,7,24,1,228,61,890,3,1,415,268,67,0,0,0,75,5,"1,378",2,5,658,15,1,0,46,651,92,28,12,10,486,209,277,0,0,0,0,0,19,2,2,0,0,43
,Fredonia,"1,315",3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gilbert,"278,495","10,822","2,541","5,836","2,445","2,300",221,"1,550",529,6,4,2,0,0,0,0,17,218,74,2,1,113,0,28,9,1,265,73,"1,836",16,47,"1,174",432,240,18,1,0,470,13,"2,162",12,15,752,56,0,409,80,838,191,24,38,22,"2,108",921,"1,187",0,0,0,0,0,99,32,31,1,0,184
,Glendale,"253,768","22,266","6,042","10,587","5,637","5,640","1,074","3,788",778,20,16,3,1,17,17,0,29,336,109,33,32,149,1,12,40,0,738,140,"1,043",33,77,"1,433",440,398,23,1,131,425,15,"5,071",13,2,"1,716",460,5,"1,142",449,"1,284","1,469",207,336,38,"4,473","2,015","2,458",0,0,0,0,0,38,71,15,2,54,"1,017"
,Globe,"7,206",713,177,367,169,171,32,99,40,0,0,0,0,3,3,0,1,2,0,0,0,2,0,0,2,0,24,0,47,3,0,20,8,10,0,0,1,1,0,262,0,0,214,6,0,1,1,40,2,2,5,0,152,100,52,0,0,0,0,0,1,7,7,0,0,9
,Goodyear,"109,929","4,415",954,"2,803",658,852,121,581,150,7,4,3,0,0,0,0,27,68,23,2,1,29,0,13,10,0,251,18,601,0,15,292,129,62,101,0,0,0,0,"1,435",9,1,844,36,0,149,45,351,155,25,1,0,513,250,263,0,0,0,0,0,65,14,13,1,0,66
,Huachuca City,"1,608",39,10,27,2,7,1,6,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,0,0,3,0,12,0,0,3,0,0,0,1,2,0,0,9,0,0,3,1,0,0,2,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
,Kingman,"35,976","2,772",542,"1,885",345,511,75,407,29,2,0,2,0,0,0,0,8,21,10,0,0,11,0,0,5,0,115,23,592,2,1,191,130,36,23,0,0,2,0,824,0,0,405,58,0,144,19,198,101,8,23,3,295,120,175,0,0,0,0,0,3,0,0,0,0,44
,Lake Havasu City,"59,720","2,729","1,050","1,190",489,958,135,668,155,2,2,0,0,0,0,0,8,82,31,1,0,27,5,18,9,0,75,20,81,1,9,345,203,69,9,0,0,58,6,595,0,1,143,8,1,84,14,344,51,3,1,28,413,234,179,0,0,0,0,0,6,8,2,0,6,34
,Litchfield Park,"6,994",212,56,139,17,52,6,41,5,0,0,0,0,0,0,0,0,4,1,0,1,2,0,0,0,0,20,1,27,0,0,24,6,4,7,0,1,6,0,58,0,0,14,0,0,3,3,38,7,1,1,0,15,11,4,0,0,0,0,0,1,0,0,0,0,1
,Marana,"57,718","2,448",308,"1,429",711,297,41,202,54,1,1,0,0,0,0,0,0,10,3,1,0,6,0,0,1,0,64,12,136,13,0,209,94,34,12,1,5,53,10,936,0,1,611,51,1,82,44,146,34,3,21,0,674,297,377,0,0,0,0,0,0,0,0,0,0,37
,Maricopa,"70,355","2,436",882,997,557,791,165,497,129,0,0,0,0,0,0,0,15,76,6,0,0,19,0,51,2,1,51,9,157,1,2,219,169,18,14,0,5,13,0,453,0,3,133,7,1,51,5,253,59,10,33,46,420,248,172,0,0,0,0,0,23,0,0,0,0,68
,Mesa,"515,848","32,236","8,559","13,353","10,324","7,836","1,773","5,012","1,051",36,27,5,4,21,21,0,117,549,117,71,47,274,1,39,47,2,989,287,814,91,123,"2,701",832,507,97,14,480,681,90,"6,367",14,7,"1,871",935,8,"1,401",627,"1,504","1,376",285,271,83,"9,240","3,822","5,418",1,1,0,0,0,157,212,47,53,112,631
,Oro Valley,"48,738","1,486",192,958,336,178,22,131,25,0,0,0,0,1,1,0,3,10,4,1,0,5,0,0,2,0,41,16,178,0,0,200,60,35,25,0,8,49,23,505,2,1,260,59,0,70,10,103,15,1,0,0,320,116,204,0,0,0,0,0,0,0,0,0,0,16
,Page,"7,327","1,054",301,647,106,290,28,251,11,0,0,0,0,0,0,0,5,6,4,1,0,1,0,0,1,0,17,3,228,0,0,24,17,5,1,0,0,1,0,356,0,1,253,0,0,11,1,90,16,1,1,4,90,47,43,0,0,0,0,0,5,0,0,0,0,7
,Paradise Valley,"12,566",379,34,326,19,32,2,27,3,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,50,8,56,0,0,87,39,3,33,0,0,12,0,111,0,0,1,4,0,23,0,83,6,0,8,0,12,5,7,0,0,0,0,0,5,0,0,0,0,2
,Parker,"3,331",175,47,70,58,44,13,25,6,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,16,1,17,0,0,3,1,1,0,0,1,0,0,26,0,0,4,9,0,7,0,6,5,0,1,0,53,33,20,0,0,0,0,0,2,0,0,0,0,3
,Payson,"16,783",949,184,544,221,169,55,90,24,1,0,1,0,4,0,4,5,5,2,0,0,0,0,3,2,0,55,10,146,0,1,42,2,10,30,0,0,0,0,269,0,0,167,0,0,0,0,102,14,2,3,0,196,88,108,0,0,0,0,0,4,0,0,0,0,21
,Peoria,"200,886","7,826","2,117","4,523","1,186","1,894",288,"1,395",211,11,9,2,0,2,2,0,34,176,56,14,14,86,0,6,11,1,295,66,901,0,22,775,259,198,316,0,0,0,2,"2,039",4,1,528,87,1,551,75,792,314,50,49,0,949,504,445,0,0,0,0,0,92,5,2,3,0,140
,Pinetop-Lakeside,"4,222",336,101,206,29,89,27,51,11,1,1,0,0,0,0,0,3,8,4,0,0,2,1,1,1,1,12,1,54,0,0,11,6,3,2,0,0,0,0,116,0,0,75,0,0,2,0,39,5,3,2,2,21,7,14,0,0,0,0,0,2,0,0,0,0,4
,Prescott,"48,396","2,895",974,"1,460",461,913,145,594,174,1,1,0,0,0,0,0,13,47,17,0,0,18,0,12,3,0,98,17,422,0,12,263,186,38,35,0,0,1,3,584,1,5,286,37,0,37,3,215,43,8,10,3,369,191,178,0,0,0,0,0,21,2,0,0,2,66
,Prescott Valley,"50,166","2,495",746,"1,168",581,665,117,412,136,3,1,2,0,0,0,0,8,70,10,3,2,43,0,12,1,0,31,19,370,0,3,281,164,42,69,0,0,1,5,429,2,7,147,36,2,51,7,177,24,2,8,3,484,248,236,0,0,0,0,0,29,0,0,0,0,65
,Queen Creek,"76,239","1,836",587,"1,064",185,549,79,340,130,1,0,1,0,1,1,0,5,31,8,0,0,17,0,6,7,1,76,8,117,0,11,245,80,47,3,0,17,98,0,548,1,0,234,20,0,111,11,171,43,6,2,5,141,98,43,0,0,0,0,0,18,1,1,0,0,20
,Sahuarita,"36,300","1,164",403,602,159,381,36,244,101,3,3,0,0,0,0,0,7,12,2,2,0,8,0,0,5,0,30,4,113,4,0,123,38,12,6,0,3,25,39,301,1,1,101,11,0,57,17,113,17,3,2,7,129,56,73,0,0,0,0,0,3,0,0,0,0,20
,San Luis,"35,862",543,163,258,122,153,18,126,9,0,0,0,0,0,0,0,0,10,1,0,0,8,0,1,0,0,26,0,27,1,0,22,15,2,1,0,3,1,0,141,0,0,64,15,0,15,9,38,37,2,2,0,112,66,46,0,0,0,0,0,1,0,0,0,0,9
,Scottsdale,"243,644","14,614","2,245","9,824","2,545","1,980",246,"1,362",372,2,1,1,0,0,0,0,65,198,69,22,7,52,0,48,9,2,529,162,"2,011",33,28,"1,936",927,364,27,0,0,599,19,"4,455",90,16,"1,479",703,1,"1,026",160,980,517,63,79,22,"1,998",770,"1,228",0,0,0,0,0,69,281,237,44,0,175
,Show Low,"12,210","1,139",312,582,245,271,91,140,40,0,0,0,0,0,0,0,11,30,9,1,0,14,0,6,0,1,38,13,226,1,2,70,35,14,21,0,0,0,0,209,0,0,83,0,0,15,6,105,19,1,2,23,191,88,103,0,0,0,0,0,6,0,0,0,0,25
,Sierra Vista,"45,464","2,456",665,"1,106",685,594,78,464,52,1,0,1,0,0,0,0,11,59,5,4,2,45,0,3,5,0,86,5,31,11,7,289,203,21,10,0,16,38,1,609,0,0,302,80,0,86,22,119,39,10,14,5,612,313,299,0,0,0,0,0,11,1,0,1,0,56
,Somerton,"14,660",306,138,139,29,136,15,106,15,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,10,2,56,0,1,14,4,1,2,0,1,6,0,41,0,0,5,23,0,2,2,9,12,2,0,0,15,6,9,0,0,0,0,0,2,0,0,0,0,12
,Superior,"2,527",266,67,148,51,64,10,37,17,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,23,3,52,0,0,8,5,0,3,0,0,0,0,51,3,2,19,2,0,0,0,25,8,0,2,1,43,22,21,0,0,0,0,0,0,0,0,0,0,7
,Surprise,"159,346","4,590","1,180","2,790",620,"1,090",106,852,132,6,2,4,0,8,8,0,7,69,22,8,11,26,0,2,5,0,196,22,223,0,40,449,162,64,50,1,44,123,5,"1,626",3,0,535,193,0,269,111,515,190,19,20,4,533,247,286,0,0,0,0,0,22,0,0,0,0,61
,Tempe,"188,144","17,926","4,426","10,284","3,216","4,157",691,"3,436",30,18,12,4,2,3,3,0,48,200,135,3,1,60,0,1,18,0,734,83,"2,312",32,34,874,459,106,5,0,4,297,3,"5,358",20,9,"1,585",147,0,951,328,"2,318",706,124,9,34,"2,809",937,"1,872",0,0,0,0,0,20,54,16,1,37,299
,Willcox,"3,203",138,47,47,44,33,5,25,3,0,0,0,0,6,3,3,2,6,0,0,0,6,0,0,1,0,10,0,0,0,0,3,2,0,1,0,0,0,0,31,0,0,12,0,0,0,0,19,2,0,0,0,40,21,19,0,0,0,0,0,0,0,0,0,0,4
,Williams,"3,494",223,67,137,19,66,18,34,14,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,2,49,0,0,10,3,5,2,0,0,0,0,63,0,0,10,0,0,6,0,47,7,1,2,0,12,7,5,0,0,0,0,0,0,0,0,0,0,7
,Yuma,"99,610","4,845","1,089","2,773",983,963,373,498,92,11,9,2,0,0,0,0,23,92,27,4,0,41,0,20,18,0,321,16,818,1,6,331,200,23,108,0,0,0,0,991,0,0,418,0,0,62,8,503,221,46,4,4,813,363,450,0,0,0,0,0,26,1,0,1,0,139
Universities and Colleges,"Arizona State University, Main Campus","170,448","1,409",203,"1,008",198,185,28,116,41,0,0,0,0,0,0,0,3,15,7,0,0,6,0,2,2,0,21,5,222,0,7,40,20,18,2,0,0,0,0,682,0,0,26,18,0,44,11,583,10,11,8,0,187,77,110,0,0,0,0,0,9,0,0,0,0,2
,Arizona Western College,"12,342",10,1,9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Maricopa Community College3,,187,14,157,16,13,1,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,73,0,1,6,1,0,0,0,0,4,1,63,0,0,4,23,1,4,11,20,4,0,0,0,15,9,6,0,0,0,0,0,0,0,0,0,0,1
,Northern Arizona University,"32,063",302,45,249,8,36,2,20,14,0,0,0,0,0,0,0,0,9,5,0,0,4,0,0,1,0,10,0,102,0,0,15,9,5,0,0,0,1,0,116,0,0,0,10,0,0,0,106,3,1,1,1,6,1,5,0,0,0,0,0,1,0,0,0,0,0
,Pima Community College,"32,415",196,7,124,65,7,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,70,0,0,4,3,1,0,0,0,0,0,43,0,0,0,12,0,7,3,21,0,0,2,0,63,23,40,0,0,0,0,0,0,0,0,0,0,2
Metropolitan Counties,Cochise,,"1,378",467,523,388,369,104,186,79,2,0,2,0,32,32,0,24,40,1,0,0,39,0,0,9,0,104,2,4,0,0,131,38,9,76,0,1,7,0,211,0,1,7,0,0,8,0,195,61,0,1,5,354,180,174,0,0,0,0,0,1,0,0,0,0,28
,Coconino,,"1,204",438,648,118,382,110,190,82,4,1,3,0,0,0,0,17,35,13,0,0,18,0,4,10,0,67,4,242,1,1,98,71,8,0,0,0,16,3,184,1,0,11,1,0,0,3,168,36,4,1,3,96,56,40,0,0,0,0,0,3,0,0,0,0,16
,Mohave,,"5,299","1,127","3,000","1,172","1,024",100,572,352,10,10,0,0,0,0,0,7,86,7,56,1,21,0,1,11,0,320,16,964,0,0,292,254,0,1,0,0,37,0,904,0,0,114,2,1,95,12,680,239,9,245,53,956,495,461,0,0,0,0,0,5,5,0,0,5,153
,Pima,,"16,246","4,176","10,394","1,676","3,949",669,"2,644",636,18,15,0,3,0,0,0,16,193,49,2,0,141,0,1,60,0,"1,046",11,"1,744",102,0,"1,239",367,219,142,4,86,290,131,"5,524",11,14,"3,304",238,1,746,113,"1,097",581,74,13,67,"1,490",872,618,0,0,0,0,0,6,0,0,0,0,113
,Pinal,,"4,083","1,285","2,137",661,"1,209",257,762,190,11,6,5,0,0,0,0,23,42,4,6,0,31,0,1,8,1,206,12,291,1,3,306,298,0,1,0,5,1,1,"1,011",1,2,220,27,0,168,12,581,243,10,45,10,557,289,268,0,0,0,0,0,0,1,1,0,0,93
,Yavapai,,"2,892","1,156","1,023",713,"1,091",204,634,253,3,2,1,0,0,0,0,6,56,13,8,3,26,1,5,7,0,126,11,117,5,20,348,115,40,8,1,124,60,0,327,0,0,34,20,0,71,7,195,57,1,4,9,631,284,347,0,0,0,0,0,13,2,1,1,0,58
,Yuma,,"2,513",763,"1,534",216,711,180,489,42,6,5,1,0,0,0,0,3,43,11,6,0,22,0,4,6,0,162,5,473,0,10,206,146,25,1,0,0,34,0,535,0,0,41,115,0,44,7,328,123,10,4,8,148,64,84,0,0,0,0,0,5,1,0,1,0,54
Nonmetropolitan Counties,Gila,,537,180,157,200,166,49,86,31,1,1,0,0,0,0,0,3,10,7,0,1,2,0,0,1,0,42,0,41,0,0,14,3,9,2,0,0,0,0,40,0,0,8,0,0,0,0,32,10,1,8,1,172,88,84,0,0,0,0,0,1,1,1,0,0,25
,La Paz,,515,115,275,125,100,16,66,18,1,1,0,0,0,0,0,5,9,2,0,0,4,3,0,1,0,37,1,85,1,0,15,0,6,1,0,6,2,0,90,0,0,5,40,0,25,10,10,36,0,9,0,102,54,48,0,0,0,0,0,1,0,0,0,0,22
,Navajo,,940,313,415,212,277,52,168,57,1,1,0,0,0,0,0,7,28,17,1,0,8,1,1,2,0,50,4,147,0,0,58,31,10,10,0,7,0,0,100,0,0,6,3,0,4,1,86,34,0,20,1,183,137,46,0,0,0,0,0,1,0,0,0,0,27
,Santa Cruz,,388,144,207,37,132,14,89,29,8,8,0,0,0,0,0,0,4,0,4,0,0,0,0,2,0,25,0,101,1,0,1,0,0,1,0,0,0,0,52,0,0,2,0,0,4,0,46,19,0,6,0,35,35,0,0,0,0,0,0,1,0,0,0,0,1
Tribal,Ak-Chin Tribal,,141,33,74,34,33,7,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,37,0,0,5,1,4,0,0,0,0,0,25,0,2,1,3,0,3,0,16,5,1,0,0,24,23,1,8,8,0,0,0,0,1,0,0,1,1
,Cocopah Tribal,,126,31,51,44,30,2,28,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,27,0,0,3,0,1,0,0,2,0,0,17,0,0,0,8,0,0,0,9,2,0,0,0,39,26,13,0,0,0,0,0,0,0,0,0,0,5
,Hopi Resource Enforcement Agency,,171,101,64,6,100,22,52,26,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,16,0,34,0,0,0,0,0,0,0,0,0,0,10,0,0,0,7,0,2,1,0,4,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,2
,Hualapai Tribal,,223,127,39,57,115,8,87,20,1,0,1,0,0,0,0,7,4,2,0,0,2,0,0,0,0,8,0,25,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,3,1,0,1,0,47,28,19,0,0,0,0,0,0,0,0,0,0,10
,Kaibab Paiute Tribal,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Navajo Nation,,"1,821","1,201",430,190,"1,180",221,692,267,5,4,1,0,0,0,0,8,8,3,2,0,3,0,0,13,0,30,1,305,0,0,7,0,0,7,0,0,0,0,48,1,0,28,5,0,1,1,12,22,2,2,1,111,111,0,0,0,0,0,0,0,0,0,0,0,78
,San Carlos Apache,,"2,055","1,095",592,368,"1,014",381,293,340,16,10,5,1,0,0,0,8,57,39,0,1,17,0,0,40,0,89,5,311,3,0,10,1,2,0,0,4,3,0,94,0,0,18,31,0,16,3,26,21,10,9,4,181,93,88,0,0,0,0,0,6,0,0,0,0,177
,Truxton Canon Agency,,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Yavapai-Apache Nation,,129,36,22,71,35,10,25,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,7,0,0,1,0,1,0,0,0,0,0,10,0,0,2,0,0,0,1,7,0,1,0,0,69,40,29,0,0,0,0,0,0,0,0,0,0,2
,Yavapai-Prescott Tribal,,158,15,84,59,11,4,3,4,0,0,0,0,0,0,0,1,3,1,0,0,1,0,1,0,0,6,7,29,0,0,5,1,3,0,0,0,1,0,36,0,0,16,1,1,2,0,16,1,0,0,0,57,34,23,0,0,0,0,0,0,0,0,0,0,2
Other,Tucson Airport Authority,,110,11,79,20,11,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,16,15,1,0,0,0,0,0,15,0,0,1,3,0,3,2,6,20,0,0,0,20,10,10,0,0,0,0,0,0,0,0,0,0,0
"1Population figures are published only for the cities. The figures listed for the universities and colleges are student enrollment and were provided by the United States Department of Education for the 2022 school year, the most recent available. The enrollment figures include full-time and part-time students.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2In 2023, the offense of fondling was replaced with criminal sexual contact. See the Methodology for further explanation. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Student enrollment figures were not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
